#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 536000      8.05e-02      1.42e-04      3.44e-02      4.19e-03    2.1e-06
 538000      2.03e-01      1.84e-03      5.34e-02      1.41e-02    2.1e-06
 540000      1.41e-01      3.74e-05      1.70e-02      1.09e-02    2.0e-06
 542000      1.24e-01      1.68e-04      3.17e-02      8.81e-03    2.0e-06
 544000      1.76e-01      3.97e-04      2.99e-02      1.33e-02    2.0e-06
 546000      5.26e-02      1.19e-04      8.60e-03      4.00e-03    1.9e-06
 548000      6.00e-02      6.82e-04      1.96e-02      3.89e-03    1.9e-06
 550000      1.65e-01      4.61e-04      4.00e-02      1.19e-02    1.8e-06
 552000      1.22e-01      2.35e-05      1.88e-02      9.30e-03    1.8e-06
 554000      1.06e-01      8.15e-04      1.24e-02      8.15e-03    1.8e-06
 556000      1.63e-01      6.20e-04      3.56e-02      1.20e-02    1.7e-06
 558000      1.87e-01      4.50e-04      1.75e-02      1.46e-02    1.7e-06
 560000      1.76e-01      4.01e-04      1.72e-02      1.37e-02    1.6e-06
 562000      1.87e-01      1.08e-03      5.58e-02      1.29e-02    1.6e-06
 564000      9.58e-02      5.52e-04      4.13e-02      5.44e-03    1.6e-06
 566000      7.92e-02      5.37e-04      6.70e-03      6.19e-03    1.5e-06
 568000      1.76e-01      7.19e-04      5.44e-02      1.22e-02    1.5e-06
 570000      1.14e-01      6.07e-04      1.92e-02      8.72e-03    1.4e-06
 572000      2.15e-01      1.31e-04      2.23e-02      1.68e-02    1.4e-06
 574000      2.03e-01      3.45e-04      2.28e-02      1.58e-02    1.4e-06
 576000      7.73e-02      2.98e-04      1.25e-02      5.92e-03    1.3e-06
 578000      2.44e-01      4.02e-05      1.70e-02      1.92e-02    1.3e-06
 580000      3.70e-02      6.87e-04      2.04e-02      1.48e-03    1.3e-06
 582000      2.00e-01      1.29e-04      2.24e-02      1.56e-02    1.3e-06
 584000      2.75e-01      2.54e-05      2.67e-02      2.15e-02    1.3e-06
 586000      1.01e-01      3.08e-04      3.87e-02      6.61e-03    1.2e-06
 588000      1.04e-01      7.48e-04      8.78e-03      8.14e-03    1.2e-06
 590000      1.23e-01      8.38e-04      3.96e-02      8.51e-03    1.1e-06
 592000      1.73e-01      7.31e-04      4.11e-02      1.28e-02    1.1e-06
 594000      1.03e-01      5.32e-04      4.43e-02      6.31e-03    1.1e-06
 596000      4.96e-02      1.16e-04      5.12e-03      3.87e-03    1.1e-06
 598000      2.76e-02      3.12e-04      1.30e-02      1.58e-03    1.1e-06
 600000      3.32e-02      7.31e-04      1.00e-02      2.26e-03    1.0e-06
 602000      1.51e-01      5.11e-04      6.70e-02      9.27e-03    1.0e-06
 604000      1.65e-01      2.43e-04      1.46e-02      1.30e-02    1.0e-06
 606000      2.78e-02      5.70e-04      9.90e-03      1.83e-03    9.4e-07
 608000      1.02e-01      8.41e-04      4.21e-02      6.56e-03    9.4e-07
 610000      5.70e-02      1.73e-04      1.35e-02      4.26e-03    8.9e-07
 612000      9.30e-02      1.52e-04      4.80e-02      5.18e-03    8.9e-07
 614000      3.34e-02      3.28e-04      3.87e-03      2.59e-03    8.9e-07
 616000      1.00e-01      1.55e-04      3.39e-02      7.05e-03    8.4e-07
 618000      1.04e-01      4.72e-04      2.82e-02      7.63e-03    8.4e-07
 620000      7.45e-02      1.62e-04      2.49e-02      5.26e-03    7.9e-07
 622000      1.87e-01      5.92e-05      4.79e-02      1.39e-02    7.9e-07
 624000      1.56e-01      3.77e-04      5.90e-02      1.06e-02    7.9e-07
 626000      9.43e-02      6.42e-04      1.79e-02      7.19e-03    7.5e-07
 628000      1.95e-01      1.25e-03      4.36e-02      1.47e-02    7.5e-07
 630000      8.94e-02      9.38e-04      1.01e-02      6.93e-03    7.1e-07
 632000      4.58e-02      3.76e-04      1.95e-02      2.98e-03    7.1e-07
 634000      1.19e-01      7.51e-05      1.72e-02      9.21e-03    7.1e-07
 636000      6.35e-02      3.65e-04      1.50e-02      4.76e-03    6.7e-07
 638000      4.03e-02      5.85e-04      9.26e-03      2.99e-03    6.7e-07
 640000      8.63e-02      1.81e-04      4.70e-02      4.89e-03    6.3e-07
 642000      1.59e-01      4.94e-05      2.38e-02      1.23e-02    6.3e-07
 644000      1.28e-01      1.84e-04      2.16e-02      9.91e-03    6.3e-07
 646000      6.70e-02      3.46e-04      1.86e-02      4.95e-03    6.0e-07
 648000      1.12e-01      5.57e-04      4.97e-02      7.28e-03    6.0e-07
 650000      7.26e-02      5.07e-04      1.64e-02      5.49e-03    5.6e-07
 652000      1.12e-01      1.87e-04      1.75e-02      8.69e-03    5.6e-07
 654000      5.51e-02      1.02e-03      6.98e-03      4.18e-03    5.6e-07
 656000      1.42e-01      4.54e-04      1.85e-02      1.11e-02    5.3e-07
 658000      1.64e-01      5.03e-05      5.33e-02      1.19e-02    5.3e-07
 660000      9.98e-02      2.35e-04      6.36e-03      7.86e-03    5.0e-07
